,created_date,job_title,company,salary,address,time,link_description,min_salary,max_salary,salary_unit,position,level,city,district
1181,2023-08-01,Senior .Net Developer - HÃ  Ná»™i,Ngân Hà ng TMCP Việt Nam Thịnh Vượng (VPBank),Thoả thuận,Hà Nội: Đống Đa,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/senior-net-developer-ha-noi/629638.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,SENIOR,Hà Nội, Đống Đa
1182,2023-08-01,Kỹ Sư Cầu Nối (Lương Upto 65 Triệu),Công ty cổ phần Công Nghệ Fuji,Tới 65 triệu,"Hà Nội: Đống Đa, Cầu Giấy",Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-cau-noi-luong-upto-65-trieu/472171.html?ta_source=JobSearchList_LinkDetail,,65,million VND,OTHER,UNKNOWN,Hà Nội," Đống Đa, Cầu Giấy"
1183,2023-08-01,Nhân Viên AI Engineer,Công ty Cổ phần Blackwind,30 - 40 triệu,Hà Nội: Ba Đình: Hồ Chí Minh: Tân Bình,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-ai-engineer/1069405.html?ta_source=JobSearchList_LinkDetail,30,40,million VND,AI_ENGINEER,UNKNOWN,Hà Nội, Ba Đình
1184,2023-08-01,Nhân Viên IT Helpdesk,Công ty TNHH Công nghệ số Adamo,"10,000,000 - 14,000,000 USD",Hà Nội,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk/730339.html?ta_source=JobSearchList_LinkDetail,"10,000,000","14,000,000",USD,IT_SUPPORT,UNKNOWN,Hà Nội,
1185,2023-08-01,.Net Developer (Middle/Senior),Công ty TNHH Yopaz,Tới 35 triệu,Hà Nội,Còn 19 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/net-developer-middle-senior/1069357.html?ta_source=JobSearchList_LinkDetail,,35,million VND,SOFTWARE_ENGINEER,SENIOR,Hà Nội,
1186,2023-08-01,Kỹ Sư Robotics,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Tá»›i 1,500 USD",Hà Nội: Cầu Giấy,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-robotics/1068666.html?ta_source=JobSearchList_LinkDetail,,"1,500",USD,OTHER,UNKNOWN,Hà Nội, Cầu Giấy
1187,2023-08-01,Junior Golang Developer - Lập Trình Viên Golang (Upto 25M),CÔNG TY TNHH OPN VIỆT NAM,Tới 25 triệu,Hà Nội: Đống Đa,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/junior-golang-developer-lap-trinh-vien-golang-upto-25m/1069543.html?ta_source=JobSearchList_LinkDetail,,25,million VND,SOFTWARE_ENGINEER,JUNIOR,Hà Nội, Đống Đa
1188,2023-08-01,Kỹ Sư An Toà n Thông Tin,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ ASIC,Thoả thuận,Hà Nội: Nam Từ Liêm,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-an-toan-thong-tin/1069526.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,OTHER,UNKNOWN,Hà Nội, Nam Từ Liêm
1189,2023-08-01,Nhân Viên IT Help Desk / IT Support,Công ty CPTM Cầu Giấy,Thoả thuận,Hà Nội: Cầu Giấy,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it-help-desk-it-support/1069223.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,IT_SUPPORT,UNKNOWN,Hà Nội, Cầu Giấy
1190,2023-08-01,Java Developer,CÔNG TY CỔ PHẦN PHẦN MỀM MOR,Tới 35 triệu,Hà Nội: Nam Từ Liêm,Còn 25 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/java-developer/1032956.html?ta_source=JobSearchList_LinkDetail,,35,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Nam Từ Liêm
